task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
344	22/321d21	1343	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:45.259	30.2s	29.5s	87.6%	358.9 MB	3.7 GB	122.9 MB	5.6 MB
341	b9/0f1e47	64092	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:43.449	33.2s	32.5s	85.3%	324.8 MB	3.7 GB	204.8 MB	5.5 MB
360	c5/adc7ff	13713	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:53.930	23.4s	22.7s	106.0%	370.5 MB	3.7 GB	88.1 MB	5.4 MB
336	4b/a1f615	58089	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:39.166	38.4s	37.9s	91.3%	385 MB	3.7 GB	226.5 MB	5.8 MB
353	80/2e195a	8977	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:50.667	26.9s	26.3s	95.4%	344.6 MB	3.6 GB	112.6 MB	5.7 MB
363	83/8bdfc8	15530	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:55.223	22.6s	22s	102.1%	350.2 MB	3.6 GB	115.5 MB	5.6 MB
357	89/82c6d9	10568	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:51.624	26.4s	25.9s	100.3%	362.9 MB	3.6 GB	146.6 MB	5.7 MB
359	fd/5a0c18	13604	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:53.831	24.3s	23.7s	117.9%	375.8 MB	3.6 GB	129.9 MB	5.6 MB
330	fd/5e58da	49432	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:32.902	45.6s	45.1s	81.6%	357.8 MB	3.7 GB	350.8 MB	5.7 MB
345	74/0ec016	2130	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:45.667	32.9s	32s	84.9%	320.3 MB	3.7 GB	183 MB	5.7 MB
299	cf/a569d7	29633	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:19.931	58.7s	57.9s	74.7%	346.2 MB	3.6 GB	457.4 MB	5.7 MB
362	12/71b65e	14186	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:54.321	24.5s	23.8s	102.3%	273.1 MB	3.6 GB	111.6 MB	5.6 MB
340	18/853cc5	64047	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:43.424	35.6s	35s	94.9%	361.3 MB	3.6 GB	237.9 MB	5.6 MB
335	37/0df598	55347	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:37.136	43s	42.2s	80.5%	333.3 MB	3.7 GB	319 MB	5.6 MB
331	24/0cb2f9	51718	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:34.789	45.6s	45s	84.6%	368.5 MB	3.7 GB	346.9 MB	5.6 MB
352	72/ba352d	8956	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:50.637	30.6s	29.9s	92.5%	325.5 MB	3.6 GB	222.1 MB	5.6 MB
361	5a/c3d72a	13866	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:54.032	27.2s	26.6s	111.5%	356.6 MB	3.7 GB	204.9 MB	5.6 MB
346	2b/c68d43	2796	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:46.213	35.4s	34.9s	96.5%	341.7 MB	3.5 GB	264.7 MB	5.7 MB
365	1b/6ade9e	16805	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:55.906	26.7s	26.1s	105.4%	366.5 MB	3.6 GB	165.3 MB	5.4 MB
350	87/7a2fea	7084	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:49.288	33.7s	32.4s	92.2%	346.4 MB	3.5 GB	245.3 MB	5.6 MB
